기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2019	영등포구	신길4동	599	205	394	168	60	108	39	3	36	392	142	250
2019	영등포구	신길5동	523	186	337	134	45	89	36	5	31	353	136	217
2019	영등포구	신길6동	717	230	487	141	47	94	25	3	22	551	180	371
2019	영등포구	신길7동	363	110	253	49	15	34	15	1	14	299	94	205
2019	영등포구	대림1동	777	245	532	143	44	99	36	9	27	598	192	406
2019	영등포구	대림2동	783	255	528	166	45	121	26	6	20	591	204	387
2019	영등포구	대림3동	925	312	613	201	81	120	47	13	34	677	218	459
2019	영등포구	영등포본동	1,128	454	674	285	144	141	34	8	26	809	302	507
2019	영등포구	영등포동	1,454	812	642	500	348	152	28	7	21	926	457	469
2019	영등포구	도림동	909	331	578	202	84	118	48	10	38	659	237	422
2019	영등포구	문래동	844	301	543	100	60	40	25	7	18	719	234	485
2019	동작구	소계	14,228	4,183	10,045	2,779	828	1,951	934	216	718	10,515	3,139	7,376
2019	동작구	노량진2동	908	349	559	238	106	132	63	17	46	607	226	381
2019	동작구	상도1동	1,343	338	1,005	352	81	271	112	18	94	879	239	640
2019	동작구	상도2동	904	247	657	130	33	97	58	14	44	716	200	516
2019	동작구	상도3동	940	294	646	179	47	132	74	20	54	687	227	460
2019	동작구	상도4동	1,174	339	835	270	86	184	86	17	69	818	236	582
2019	동작구	사당1동	832	314	518	152	59	93	38	10	28	642	245	397
2019	동작구	사당3동	733	216	517	94	31	63	29	7	22	610	178	432
2019	동작구	사당4동	582	149	433	125	28	97	50	7	43	407	114	293
2019	동작구	사당5동	460	131	329	78	16	62	34	27	7	348	88	260
2019	동작구	대방동	1,253	315	938	306	71	235	111	12	99	836	232	604
2019	동작구	신대방1동	758	235	523	116	41	75	46	16	30	596	178	418
2019	동작구	신대방2동	619	225	394	124	56	68	40	11	29	455	158	297
2019	동작구	흑석동	1,360	347	1,013	200	54	146	64	16	48	1,096	277	819
2019	동작구	노량진1동	1,314	361	953	284	79	205	91	15	76	939	267	672
2019	동작구	사당2동	1,048	323	725	131	40	91	38	9	29	879	274	605
2019	관악구	소계	18,725	6,223	12,502	4,382	1,474	2,908	855	214	641	13,488	4,535	8,953
2019	관악구	보라매동	1,024	297	727	207	78	129	41	10	31	776	209	567
2019	관악구	청림동	638	178	460	181	60	121	24	4	20	433	114	319
2019	관악구	행운동	1,009	336	673	271	89	182	33	7	26	705	240	465
2019	관악구	낙성대동	528	186	342	83	30	53	14	3	11	431	153	278
